                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                   2.74,                 2.6444,                 3.4507,                 0.1214,                0.03179,                 0.0387,                0.01967,                 1.9513,                 1.7039,                 2.9374,              0.0033303,              0.0033303,              0.0033303
                      2,                 1.6315,                 1.4927,                 2.8111,                0.19454,                0.10739,                 0.0927,                0.05664,                 1.3872,                 1.1412,                 2.5884,              0.0065977,              0.0065977,              0.0065977
                      3,                 1.4514,                 1.2379,                 2.6154,                0.43694,                0.21191,                0.18014,                0.11594,                  1.265,                 1.0341,                 2.4162,              0.0097991,              0.0097991,              0.0097991
                      4,                  1.338,                 1.0722,                 2.4989,                0.32655,                0.36472,                0.32664,                0.22223,                 1.1486,                0.96303,                 2.3625,               0.009703,               0.009703,               0.009703
                      5,                 1.2542,                0.97839,                 2.4104,                0.37877,                0.44856,                0.38113,                0.25598,                 1.0988,                0.85374,                 2.2804,               0.009604,               0.009604,               0.009604
                      6,                 1.2043,                0.92002,                 2.3766,                0.42111,                0.47426,                0.41122,                0.28377,                  1.059,                0.80369,                 2.2517,               0.009505,               0.009505,               0.009505
                      7,                 1.1714,                0.88384,                 2.3485,                0.47153,                0.49537,                0.44577,                0.30893,                 1.0562,                0.78818,                 2.2201,               0.009406,               0.009406,               0.009406
                      8,                 1.1475,                0.85105,                 2.3181,                0.46543,                0.52457,                0.45706,                0.31794,                 1.0194,                0.75538,                 2.2142,               0.009307,               0.009307,               0.009307
                      9,                 1.1306,                0.82993,                 2.3107,                0.49976,                0.51881,                 0.4883,                 0.3451,                 1.0139,                0.74011,                 2.2099,               0.009208,               0.009208,               0.009208
                     10,                  1.115,                0.81018,                 2.2896,                0.55594,                0.53601,                0.51319,                0.35886,                0.99206,                0.71104,                 2.1846,               0.009109,               0.009109,               0.009109
                     11,                 1.1004,                0.79368,                 2.2877,                0.53037,                0.54041,                0.52543,                0.36716,                0.98861,                0.69421,                 2.1635,                0.00901,                0.00901,                0.00901
                     12,                 1.0902,                0.77745,                 2.2829,                 0.5729,                0.55895,                0.53729,                0.38486,                0.97831,                0.69155,                 2.1869,               0.008911,               0.008911,               0.008911
                     13,                 1.0826,                0.76554,                 2.2649,                0.57943,                0.55806,                0.54189,                0.38821,                0.98684,                0.67678,                 2.1524,               0.008812,               0.008812,               0.008812
                     14,                 1.0738,                0.75882,                 2.2547,                0.60267,                0.56867,                0.55705,                 0.3971,                0.96759,                0.67716,                 2.1496,               0.008713,               0.008713,               0.008713
                     15,                 1.0671,                0.74732,                 2.2497,                0.58027,                 0.5761,                0.54825,                0.39638,                0.95213,                0.66971,                 2.1573,               0.008614,               0.008614,               0.008614
                     16,                 1.0646,                0.74221,                 2.2494,                 0.6107,                 0.5808,                0.56996,                0.41276,                0.95703,                0.64906,                 2.1425,               0.008515,               0.008515,               0.008515
                     17,                 1.0525,                0.73296,                 2.2429,                 0.6328,                 0.5745,                0.57749,                0.41657,                0.94757,                0.64487,                 2.1381,               0.008416,               0.008416,               0.008416
                     18,                 1.0525,                0.72657,                 2.2324,                0.61064,                0.59931,                 0.5836,                0.42492,                0.95386,                0.63858,                 2.1299,               0.008317,               0.008317,               0.008317
                     19,                 1.0454,                0.72071,                 2.2399,                0.61582,                0.59275,                0.58796,                0.42726,                0.93387,                0.63222,                 2.1298,               0.008218,               0.008218,               0.008218
                     20,                 1.0419,                0.71628,                 2.2326,                0.63293,                0.59066,                0.59139,                0.43313,                0.93021,                0.62694,                 2.1308,               0.008119,               0.008119,               0.008119
                     21,                 1.0363,                0.70796,                 2.2187,                0.63137,                0.60672,                0.59939,                0.43879,                 0.9314,                0.62116,                   2.12,                0.00802,                0.00802,                0.00802
                     22,                 1.0339,                0.70575,                 2.2219,                 0.6186,                0.61043,                0.59739,                0.43893,                0.92782,                0.61778,                 2.1161,               0.007921,               0.007921,               0.007921
                     23,                 1.0315,                0.70238,                 2.2164,                0.63518,                 0.6197,                0.61247,                0.44862,                0.93058,                0.61025,                 2.1112,               0.007822,               0.007822,               0.007822
                     24,                 1.0248,                0.69499,                 2.2114,                0.63336,                0.61012,                0.60379,                0.44327,                0.92373,                0.61124,                 2.1129,               0.007723,               0.007723,               0.007723
                     25,                  1.022,                0.68845,                 2.2088,                0.64174,                0.61709,                 0.6072,                0.44752,                0.92331,                0.60655,                   2.11,               0.007624,               0.007624,               0.007624
                     26,                 1.0207,                0.68812,                 2.2122,                0.63254,                 0.6195,                0.60788,                0.44934,                0.91743,                0.60573,                 2.1107,               0.007525,               0.007525,               0.007525
                     27,                 1.0179,                0.68731,                 2.2072,                 0.6428,                0.62245,                0.61493,                0.45614,                0.91761,                0.60137,                 2.1053,               0.007426,               0.007426,               0.007426
                     28,                 1.0129,                0.67736,                 2.2045,                0.63816,                0.62809,                 0.6173,                0.45585,                0.91645,                0.60031,                 2.1041,               0.007327,               0.007327,               0.007327
                     29,                 1.0075,                0.67779,                 2.1975,                0.65276,                0.62562,                0.61768,                0.45806,                0.91249,                0.59444,                 2.1043,               0.007228,               0.007228,               0.007228
                     30,                 1.0021,                0.66888,                 2.1941,                0.64195,                0.63528,                0.61265,                0.45533,                0.90826,                 0.5936,                 2.1023,               0.007129,               0.007129,               0.007129
                     31,                 1.0034,                0.67152,                 2.2001,                0.66816,                0.62329,                0.62646,                0.46486,                0.90533,                0.59068,                 2.1002,                0.00703,                0.00703,                0.00703
                     32,                0.99684,                0.66442,                 2.1943,                0.65397,                0.63266,                0.62615,                0.46655,                0.90558,                0.58711,                 2.0957,               0.006931,               0.006931,               0.006931
                     33,                0.99801,                0.66543,                  2.187,                0.64306,                 0.6359,                0.63027,                 0.4691,                0.90524,                0.58631,                 2.0952,               0.006832,               0.006832,               0.006832
                     34,                0.99259,                0.65988,                 2.1901,                0.63945,                 0.6437,                 0.6302,                 0.4695,                0.90257,                0.58406,                 2.0945,               0.006733,               0.006733,               0.006733
                     35,                0.98734,                0.65688,                 2.1869,                0.66621,                0.63953,                0.63173,                0.47253,                0.90177,                0.58125,                 2.0921,               0.006634,               0.006634,               0.006634
                     36,                 0.9897,                0.65838,                 2.1812,                0.66402,                0.63759,                0.63074,                0.47219,                0.90034,                0.57933,                 2.0904,               0.006535,               0.006535,               0.006535
                     37,                0.97875,                0.65033,                 2.1786,                0.66175,                0.64055,                 0.6331,                0.47416,                0.89875,                0.57824,                 2.0874,               0.006436,               0.006436,               0.006436
                     38,                0.97823,                0.64978,                 2.1703,                0.66579,                0.63881,                0.63464,                  0.476,                0.89807,                0.57677,                 2.0848,               0.006337,               0.006337,               0.006337
                     39,                0.97711,                0.64619,                 2.1647,                0.66491,                0.64801,                0.64197,                0.48151,                0.89597,                0.57442,                 2.0821,               0.006238,               0.006238,               0.006238
                     40,                0.97364,                0.64326,                 2.1625,                 0.6701,                0.64343,                0.64212,                0.48179,                0.89435,                0.57312,                 2.0806,               0.006139,               0.006139,               0.006139
                     41,                0.96855,                0.63728,                  2.162,                0.66771,                0.64853,                0.64474,                0.48395,                0.89172,                0.57111,                 2.0805,                0.00604,                0.00604,                0.00604
                     42,                0.97205,                0.64155,                 2.1627,                0.66264,                0.65277,                  0.644,                 0.4837,                 0.8902,                0.57471,                 2.0793,               0.005941,               0.005941,               0.005941
                     43,                0.97502,                0.65022,                 2.1665,                0.66567,                0.64631,                0.64073,                0.48177,                0.88976,                0.57424,                  2.077,               0.005842,               0.005842,               0.005842
                     44,                0.97675,                0.64773,                 2.1662,                0.66839,                0.64252,                0.63927,                0.48104,                0.88848,                0.57428,                 2.0758,               0.005743,               0.005743,               0.005743
                     45,                0.97084,                0.64431,                 2.1554,                0.65756,                0.65365,                  0.641,                0.48228,                0.88792,                0.57333,                 2.0736,               0.005644,               0.005644,               0.005644
                     46,                0.97079,                0.64187,                  2.158,                 0.6648,                 0.6551,                0.64451,                0.48479,                0.88755,                0.57165,                 2.0722,               0.005545,               0.005545,               0.005545
                     47,                0.96474,                0.63772,                 2.1533,                0.67467,                0.64883,                0.64731,                0.48712,                0.88679,                0.57137,                 2.0702,               0.005446,               0.005446,               0.005446
                     48,                0.96847,                0.64197,                 2.1555,                0.67828,                 0.6487,                 0.6492,                 0.4894,                0.88653,                0.57069,                 2.0692,               0.005347,               0.005347,               0.005347
                     49,                0.96609,                0.63541,                 2.1507,                0.67096,                0.65074,                0.65009,                0.49034,                 0.8863,                0.56964,                  2.068,               0.005248,               0.005248,               0.005248
                     50,                 0.9479,                0.61508,                 2.1359,                0.67423,                 0.6505,                0.65051,                 0.4906,                0.88609,                0.56919,                  2.068,               0.005149,               0.005149,               0.005149
                     51,                0.95125,                0.62385,                 2.1379,                0.67321,                0.65055,                0.64977,                0.49024,                0.88563,                0.56893,                 2.0674,                0.00505,                0.00505,                0.00505
                     52,                0.95475,                0.62305,                 2.1421,                0.67521,                0.65019,                0.64836,                0.48914,                0.88503,                0.56895,                 2.0675,               0.004951,               0.004951,               0.004951
                     53,                0.95112,                0.62191,                 2.1331,                0.67157,                0.65536,                0.64859,                0.48978,                0.88423,                0.56864,                  2.067,               0.004852,               0.004852,               0.004852
