                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0654,                 1.6003,                 2.6033,                0.31497,                0.27833,                0.29946,                0.18599,                 1.3743,                 1.0396,                  2.448,               0.070027,              0.0033303,              0.0033303
                      2,                 1.5054,                 1.1164,                 2.2095,                0.37982,                0.33303,                0.36979,                0.25208,                 1.1832,                0.91538,                 2.2329,               0.039986,              0.0066224,              0.0066224
                      3,                 1.3503,                0.98974,                 2.0845,                0.56129,                0.36061,                0.46946,                0.32981,                  1.146,                0.78666,                 2.1622,              0.0099033,              0.0098733,              0.0098733
                      4,                 1.2631,                0.91674,                 2.0279,                0.65817,                0.41892,                0.54422,                0.39352,                 1.0471,                0.72846,                 2.0985,              0.0098144,              0.0098144,              0.0098144
                      5,                 1.2193,                0.85674,                 1.9873,                0.61354,                0.48888,                0.55055,                0.39241,                  1.029,                0.69265,                 2.0624,              0.0097525,              0.0097525,              0.0097525
                      6,                 1.1918,                0.82789,                 1.9549,                0.57869,                0.56743,                0.56368,                0.40172,                 1.0298,                 0.6712,                 2.0485,              0.0096906,              0.0096906,              0.0096906
                      7,                 1.1765,                0.80875,                 1.9406,                0.58316,                0.57306,                0.56351,                0.40504,                  1.013,                0.65084,                 2.0366,              0.0096288,              0.0096288,              0.0096288
                      8,                 1.1624,                0.79004,                 1.9317,                0.60859,                0.57331,                0.59116,                0.43039,                0.98539,                0.63977,                 2.0114,              0.0095669,              0.0095669,              0.0095669
                      9,                  1.156,                0.77762,                 1.9229,                0.63876,                0.55531,                 0.6024,                0.43504,                0.98666,                0.62693,                 2.0243,               0.009505,               0.009505,               0.009505
                     10,                 1.1461,                0.76858,                 1.9103,                0.64879,                0.58433,                 0.6251,                0.45173,                0.99482,                0.61469,                 2.0349,              0.0094431,              0.0094431,              0.0094431
                     11,                 1.1349,                0.77965,                  1.918,                0.58951,                0.60369,                0.60387,                0.43241,                 1.0091,                0.63522,                 2.0746,              0.0093813,              0.0093813,              0.0093813
                     12,                 1.1161,                0.74435,                 1.8991,                0.62782,                0.62103,                0.62429,                0.45304,                0.98939,                  0.596,                 1.9832,              0.0093194,              0.0093194,              0.0093194
                     13,                  1.111,                0.73105,                 1.8825,                0.65488,                0.65031,                0.65796,                0.48437,                0.96996,                0.58295,                 1.9653,              0.0092575,              0.0092575,              0.0092575
                     14,                 1.1032,                0.72071,                  1.879,                0.64888,                0.64381,                0.65565,                0.47759,                0.99603,                0.58631,                 2.0075,              0.0091956,              0.0091956,              0.0091956
                     15,                 1.0963,                0.71047,                 1.8699,                0.66379,                0.64489,                 0.6653,                0.49986,                0.94475,                0.55899,                 1.9549,              0.0091337,              0.0091337,              0.0091337
                     16,                 1.0902,                0.69724,                 1.8664,                0.68423,                0.64145,                0.67312,                0.50061,                0.94613,                0.56012,                 1.9756,              0.0090719,              0.0090719,              0.0090719
                     17,                 1.0853,                 0.6945,                 1.8682,                 0.6856,                 0.6732,                0.69115,                0.51211,                0.95322,                0.54883,                 1.9599,                0.00901,                0.00901,                0.00901
                     18,                 1.0826,                0.68781,                 1.8619,                0.69466,                0.68001,                0.70409,                0.52431,                0.95268,                0.54289,                 1.9715,              0.0089481,              0.0089481,              0.0089481
                     19,                 1.0761,                0.68108,                 1.8588,                0.70646,                0.66528,                0.70061,                 0.5228,                0.94803,                0.54537,                 1.9648,              0.0088863,              0.0088863,              0.0088863
                     20,                 1.0732,                0.67442,                 1.8515,                0.72054,                0.66802,                0.71012,                 0.5315,                0.92971,                0.53718,                 1.9375,              0.0088244,              0.0088244,              0.0088244
                     21,                 1.0681,                0.66958,                 1.8435,                0.72111,                0.66899,                0.71215,                0.53043,                0.93618,                0.53516,                 1.9685,              0.0087625,              0.0087625,              0.0087625
