                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7691,                 2.3574,                  2.872,                0.18643,                0.11981,                0.15355,                0.08002,                 2.0211,                 1.7577,                  2.858,               0.070027,              0.0033303,              0.0033303
                      2,                 2.0855,                 1.7878,                 2.5772,                0.41223,                0.12016,                0.19013,                0.10525,                 1.7333,                 1.6005,                 2.6786,               0.039986,              0.0066224,              0.0066224
                      3,                 1.8627,                 1.5672,                 2.4308,                0.28824,                0.17449,                0.23453,                0.14992,                 1.5265,                 1.2717,                 2.5112,              0.0099033,              0.0098733,              0.0098733
                      4,                 1.7383,                 1.4582,                 2.3571,                0.35192,                0.20174,                0.28232,                0.18741,                 1.4261,                 1.1684,                 2.3912,              0.0098144,              0.0098144,              0.0098144
                      5,                 1.6524,                 1.3694,                 2.3025,                0.34677,                0.23041,                0.29467,                 0.1953,                  1.373,                 1.1156,                 2.3575,              0.0097525,              0.0097525,              0.0097525
                      6,                 1.5973,                 1.3169,                 2.2619,                 0.5015,                0.24202,                0.37887,                0.26256,                 1.3528,                 1.0723,                 2.3467,              0.0096906,              0.0096906,              0.0096906
                      7,                 1.5679,                 1.2854,                 2.2424,                0.43723,                0.25295,                0.34928,                0.22994,                 1.3374,                 1.0567,                 2.3301,              0.0096288,              0.0096288,              0.0096288
                      8,                 1.5428,                 1.2574,                 2.2283,                0.34349,                0.27411,                0.31268,                0.20817,                 1.2998,                 1.0421,                 2.2985,              0.0095669,              0.0095669,              0.0095669
                      9,                 1.5282,                 1.2379,                 2.2156,                0.37771,                0.27051,                0.33173,                0.21613,                 1.2964,                 1.0255,                 2.2819,               0.009505,               0.009505,               0.009505
                     10,                 1.5116,                 1.2215,                 2.2019,                 0.4773,                0.26228,                0.37918,                0.25949,                 1.2775,                 1.0045,                 2.2984,              0.0094431,              0.0094431,              0.0094431
                     11,                 1.3034,                  1.008,                  2.053,                0.54533,                0.35002,                0.45121,                0.31891,                 1.1189,                 0.7871,                 2.1466,              0.0093813,              0.0093813,              0.0093813
                     12,                 1.2328,                0.91924,                 2.0005,                0.54013,                0.40851,                0.46907,                0.33664,                 1.0574,                0.73792,                 2.0733,              0.0093194,              0.0093194,              0.0093194
                     13,                 1.2088,                0.88572,                 1.9689,                 0.5491,                0.48189,                0.51033,                0.36218,                 1.0527,                0.71383,                 2.0507,              0.0092575,              0.0092575,              0.0092575
                     14,                 1.1888,                0.86037,                 1.9538,                 0.5866,                0.47959,                0.53947,                 0.3796,                 1.0667,                0.69135,                 2.0561,              0.0091956,              0.0091956,              0.0091956
                     15,                 1.1733,                 0.8385,                   1.94,                0.55692,                0.52813,                0.54679,                0.39529,                 1.0106,                0.67563,                 2.0183,              0.0091337,              0.0091337,              0.0091337
                     16,                  1.159,                 0.8154,                 1.9304,                0.56239,                0.56237,                0.56549,                 0.4107,                0.99939,                0.66067,                 2.0174,              0.0090719,              0.0090719,              0.0090719
                     17,                 1.1491,                0.80509,                 1.9233,                0.57278,                0.55333,                0.56932,                0.41642,                0.99617,                0.64627,                 2.0025,                0.00901,                0.00901,                0.00901
                     18,                 1.1417,                0.79173,                 1.9161,                0.59857,                0.58115,                0.59401,                0.43542,                0.99466,                0.63019,                 2.0073,              0.0089481,              0.0089481,              0.0089481
                     19,                 1.1319,                 0.7799,                 1.9043,                0.59195,                0.59351,                 0.6062,                0.44491,                0.99105,                0.62137,                 1.9925,              0.0088863,              0.0088863,              0.0088863
                     20,                 1.1264,                0.77269,                 1.8923,                0.60806,                0.59744,                0.61211,                0.45074,                0.97216,                0.61278,                 1.9685,              0.0088244,              0.0088244,              0.0088244
                     21,                 1.1197,                0.76778,                 1.8661,                0.62302,                0.59694,                0.62343,                0.45672,                0.97395,                0.60866,                 1.9617,              0.0087625,              0.0087625,              0.0087625
                     22,                 1.1102,                0.75972,                  1.853,                0.62054,                0.61302,                0.63021,                0.46465,                 0.9644,                0.59834,                 1.9532,              0.0087006,              0.0087006,              0.0087006
                     23,                 1.1085,                0.75921,                 1.8356,                0.62774,                0.61624,                 0.6307,                0.47122,                0.95311,                0.59211,                 1.9251,              0.0086388,              0.0086388,              0.0086388
                     24,                  1.098,                0.74925,                 1.8212,                0.62865,                 0.6338,                 0.6415,                0.47699,                0.94796,                0.58985,                 1.9141,              0.0085769,              0.0085769,              0.0085769
                     25,                 1.0937,                0.74375,                 1.8105,                0.63712,                0.63341,                0.64612,                0.48044,                0.94489,                0.59003,                 1.8955,               0.008515,               0.008515,               0.008515
                     26,                 1.0903,                  0.741,                  1.796,                0.63295,                0.63971,                0.65083,                0.48919,                0.93711,                 0.5871,                 1.8711,              0.0084531,              0.0084531,              0.0084531
                     27,                  1.087,                0.73686,                 1.7873,                0.64198,                0.64654,                 0.6589,                0.49507,                0.93373,                0.58249,                 1.8691,              0.0083913,              0.0083913,              0.0083913
                     28,                 1.0805,                0.72887,                  1.773,                0.65829,                 0.6347,                0.66062,                0.49659,                0.93138,                0.58094,                 1.8505,              0.0083294,              0.0083294,              0.0083294
