                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1456,                  1.662,                 2.6159,                0.35268,                0.28044,                0.31759,                0.19372,                 1.4479,                 1.0848,                 2.3088,               0.070027,              0.0033303,              0.0033303
                      2,                 1.5707,                 1.1659,                 2.1347,                0.44101,                 0.3291,                0.40905,                0.27978,                 1.2246,                0.98565,                  2.115,               0.039986,              0.0066224,              0.0066224
                      3,                 1.3876,                 1.0217,                 2.0158,                 0.5959,                0.36466,                0.49143,                0.34507,                 1.1407,                0.80181,                 2.0619,              0.0099033,              0.0098733,              0.0098733
                      4,                 1.2744,                0.93649,                 1.9647,                0.59177,                0.44247,                0.51773,                0.36703,                 1.0311,                0.74023,                  1.976,              0.0098144,              0.0098144,              0.0098144
                      5,                 1.2298,                0.87445,                  1.927,                0.58731,                0.53136,                0.55392,                0.39771,                   1.01,                0.69196,                 1.9569,              0.0097525,              0.0097525,              0.0097525
                      6,                 1.2018,                0.84618,                 1.8969,                0.58447,                0.57527,                0.57101,                0.41264,                  1.001,                 0.6755,                 1.9339,              0.0096906,              0.0096906,              0.0096906
                      7,                 1.1858,                0.82571,                 1.8827,                0.58595,                0.56964,                0.56793,                0.40863,                 0.9933,                0.66307,                 1.9343,              0.0096288,              0.0096288,              0.0096288
                      8,                 1.1724,                0.80848,                 1.8754,                0.61511,                0.56304,                0.58889,                0.43097,                0.97836,                0.65444,                 1.9042,              0.0095669,              0.0095669,              0.0095669
                      9,                 1.1634,                0.79456,                 1.8695,                0.64793,                0.55828,                0.61284,                0.44308,                  0.968,                0.63631,                  1.909,               0.009505,               0.009505,               0.009505
                     10,                 1.1547,                0.78459,                 1.8574,                0.65273,                0.58036,                0.62494,                0.45315,                 0.9798,                0.62399,                 1.9218,              0.0094431,              0.0094431,              0.0094431
                     11,                  1.143,                0.80091,                 1.8714,                0.58697,                0.60277,                 0.6013,                0.43145,                0.99443,                 0.6387,                  1.937,              0.0093813,              0.0093813,              0.0093813
                     12,                 1.1249,                0.76408,                 1.8542,                0.63978,                0.61144,                0.62284,                0.45406,                0.96667,                0.60989,                 1.8856,              0.0093194,              0.0093194,              0.0093194
                     13,                 1.1206,                0.74875,                 1.8362,                0.65865,                0.63294,                0.64428,                0.47377,                0.94589,                0.59908,                 1.8722,              0.0092575,              0.0092575,              0.0092575
