                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1328,                 1.6434,                 2.6468,                0.32801,                0.31383,                0.32077,                0.20064,                 1.3814,                 1.0339,                 2.3043,               0.070027,              0.0033303,              0.0033303
                      2,                 1.5853,                 1.1632,                 2.1316,                0.42301,                0.31533,                0.38844,                 0.2578,                 1.2038,                  0.927,                 2.1091,               0.039986,              0.0066224,              0.0066224
                      3,                 1.3883,                 1.0226,                 2.0028,                 0.5707,                0.38925,                0.48221,                0.33698,                 1.1542,                0.81602,                 2.0443,              0.0099033,              0.0098733,              0.0098733
                      4,                 1.2723,                0.93836,                 1.9515,                0.63067,                0.42225,                0.52188,                0.37445,                 1.0415,                 0.7285,                 1.9482,              0.0098144,              0.0098144,              0.0098144
                      5,                 1.2268,                0.87688,                 1.9157,                0.60747,                0.51308,                0.54811,                0.39862,                 1.0109,                0.68861,                 1.9254,              0.0097525,              0.0097525,              0.0097525
                      6,                 1.2009,                0.84758,                 1.8869,                0.57727,                0.56375,                 0.5549,                0.40248,                 1.0126,                0.67598,                 1.9209,              0.0096906,              0.0096906,              0.0096906
                      7,                 1.1859,                0.82735,                  1.874,                0.58842,                 0.5557,                0.56145,                0.40956,                 1.0039,                0.66081,                 1.9134,              0.0096288,              0.0096288,              0.0096288
                      8,                 1.1736,                0.80931,                 1.8694,                0.62116,                0.55971,                0.58883,                0.43098,                0.98132,                 0.6515,                 1.8975,              0.0095669,              0.0095669,              0.0095669
                      9,                 1.1645,                0.79739,                 1.8624,                0.64261,                0.54835,                0.60418,                0.44107,                0.96494,                0.63478,                 1.9017,               0.009505,               0.009505,               0.009505
                     10,                 1.1555,                0.78995,                 1.8561,                0.60989,                0.60407,                0.60829,                0.44024,                0.97478,                0.62902,                 1.9194,              0.0094431,              0.0094431,              0.0094431
                     11,                 1.1456,                0.80276,                 1.8784,                0.66026,                0.55808,                0.61413,                0.45405,                0.95223,                0.61528,                 1.8846,              0.0093813,              0.0093813,              0.0093813
                     12,                 1.1278,                0.76332,                 1.8418,                0.64403,                 0.5985,                0.62811,                0.46248,                0.97598,                0.60604,                 1.9034,              0.0093194,              0.0093194,              0.0093194
                     13,                 1.1198,                0.75012,                 1.8359,                0.67006,                0.61609,                0.65313,                0.48389,                0.94155,                0.59275,                 1.8747,              0.0092575,              0.0092575,              0.0092575
                     14,                 1.1116,                0.73496,                 1.8313,                0.64076,                0.65172,                 0.6543,                0.49044,                0.93572,                0.58024,                 1.8594,              0.0091956,              0.0091956,              0.0091956
