                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0429,                 1.5691,                 2.5875,                0.27166,                0.30201,                 0.2863,                0.16326,                 1.4994,                 1.1093,                 2.4778,               0.070027,              0.0033303,              0.0033303
                      2,                  1.542,                 1.1405,                 2.2151,                0.46983,                0.34501,                0.43866,                0.29231,                 1.2866,                  1.009,                 2.2911,               0.039986,              0.0066224,              0.0066224
                      3,                 1.3971,                   1.02,                 2.1022,                0.49718,                0.37557,                0.44561,                0.29902,                 1.2502,                0.88066,                 2.2344,              0.0099033,              0.0098733,              0.0098733
                      4,                 1.3155,                0.95012,                  2.053,                0.60249,                0.38778,                0.50404,                0.34793,                 1.1617,                0.81339,                 2.1688,              0.0098144,              0.0098144,              0.0098144
                      5,                 1.2719,                0.89942,                 2.0149,                0.59784,                0.41247,                0.51168,                0.35851,                 1.1588,                0.79634,                 2.1339,              0.0097525,              0.0097525,              0.0097525
                      6,                 1.2525,                0.87326,                 1.9906,                0.55524,                0.48973,                0.51289,                0.35897,                 1.1476,                0.76936,                 2.1226,              0.0096906,              0.0096906,              0.0096906
                      7,                 1.2406,                0.85949,                 1.9761,                0.54915,                0.49865,                0.51965,                0.36595,                 1.1371,                0.74939,                 2.1029,              0.0096288,              0.0096288,              0.0096288
                      8,                 1.2275,                0.84246,                 1.9675,                0.59401,                0.47123,                0.53542,                0.38166,                 1.1184,                0.73813,                 2.0978,              0.0095669,              0.0095669,              0.0095669
                      9,                 1.2242,                0.83375,                 1.9628,                0.60301,                0.46922,                  0.547,                0.38934,                 1.1088,                0.72064,                 2.0977,               0.009505,               0.009505,               0.009505
                     10,                 1.2161,                0.82611,                 1.9509,                0.60974,                0.49836,                0.56116,                0.39292,                 1.1266,                0.71767,                 2.1154,              0.0094431,              0.0094431,              0.0094431
                     11,                 1.1947,                0.82254,                 1.9496,                0.56127,                0.51629,                0.54647,                0.38264,                 1.1067,                0.69797,                 2.1413,              0.0093813,              0.0093813,              0.0093813
                     12,                 1.1728,                 0.7833,                 1.9259,                0.63354,                0.54539,                0.59146,                 0.4223,                 1.0914,                0.66394,                 2.0461,              0.0093194,              0.0093194,              0.0093194
                     13,                 1.1604,                0.76406,                 1.9061,                0.63226,                0.57877,                0.61258,                0.43937,                 1.0855,                0.65813,                 2.0204,              0.0092575,              0.0092575,              0.0092575
                     14,                 1.1545,                0.75059,                 1.9008,                0.66495,                 0.5802,                0.62393,                0.44519,                 1.0982,                 0.6426,                 2.0485,              0.0091956,              0.0091956,              0.0091956
                     15,                 1.1487,                0.74183,                 1.8938,                0.65502,                0.57931,                 0.6186,                0.45467,                 1.0583,                0.63118,                 2.0063,              0.0091337,              0.0091337,              0.0091337
                     16,                 1.1426,                0.72998,                 1.8885,                0.62053,                0.62349,                0.62824,                0.45543,                 1.0481,                0.63588,                 2.0284,              0.0090719,              0.0090719,              0.0090719
                     17,                 1.1389,                0.72642,                 1.8863,                0.64051,                0.63177,                0.64002,                0.46516,                 1.0592,                0.62068,                 2.0031,                0.00901,                0.00901,                0.00901
                     18,                 1.1344,                0.71977,                 1.8831,                0.67403,                0.62998,                0.65711,                0.47866,                 1.0608,                0.60383,                 2.0279,              0.0089481,              0.0089481,              0.0089481
                     19,                 1.1286,                0.71072,                 1.8789,                0.65114,                0.64292,                0.65461,                0.47794,                 1.0563,                0.60475,                 2.0098,              0.0088863,              0.0088863,              0.0088863
                     20,                  1.126,                0.70624,                 1.8755,                0.67827,                0.63961,                0.67128,                0.49195,                 1.0394,                0.59926,                 1.9987,              0.0088244,              0.0088244,              0.0088244
                     21,                 1.1221,                0.70309,                 1.8644,                0.66665,                0.65711,                0.67506,                0.49262,                 1.0456,                0.59404,                 1.9943,              0.0087625,              0.0087625,              0.0087625
                     22,                 1.1172,                0.69847,                 1.8684,                0.67452,                 0.6543,                0.68409,                0.49867,                 1.0426,                0.59173,                 2.0109,              0.0087006,              0.0087006,              0.0087006
                     23,                 1.1176,                0.69986,                 1.8601,                 0.6814,                0.64459,                0.67761,                0.49918,                 1.0418,                0.59127,                 1.9863,              0.0086388,              0.0086388,              0.0086388
                     24,                 1.1139,                0.69017,                   1.86,                0.68693,                0.66136,                0.68965,                0.50648,                 1.0326,                0.58448,                 1.9892,              0.0085769,              0.0085769,              0.0085769
                     25,                 1.1117,                0.68989,                 1.8578,                0.69706,                0.65173,                0.68937,                0.50771,                 1.0339,                0.58213,                 1.9835,               0.008515,               0.008515,               0.008515
                     26,                 1.1062,                0.68552,                 1.8498,                0.68757,                0.65954,                 0.6899,                0.51064,                 1.0281,                0.58064,                 1.9772,              0.0084531,              0.0084531,              0.0084531
                     27,                 1.1056,                0.68571,                 1.8475,                0.70426,                0.65698,                0.69916,                0.51507,                 1.0312,                0.57842,                 1.9711,              0.0083913,              0.0083913,              0.0083913
                     28,                 1.1038,                0.68007,                 1.8432,                 0.7057,                0.66334,                0.70265,                0.51875,                 1.0253,                 0.5747,                 1.9678,              0.0083294,              0.0083294,              0.0083294
                     29,                 1.0989,                0.67701,                 1.8467,                0.72077,                0.65208,                0.70415,                0.51988,                 1.0246,                0.57298,                 1.9674,              0.0082675,              0.0082675,              0.0082675
                     30,                  1.096,                0.67181,                 1.8385,                0.72152,                0.65902,                0.70836,                0.52392,                 1.0231,                 0.5689,                 1.9715,              0.0082056,              0.0082056,              0.0082056
                     31,                  1.097,                0.67499,                 1.8347,                  0.724,                0.65862,                 0.7101,                0.52662,                 1.0157,                0.56699,                 1.9612,              0.0081437,              0.0081437,              0.0081437
                     32,                 1.0935,                0.67177,                 1.8337,                0.72843,                0.65865,                0.70984,                0.52581,                 1.0212,                0.56721,                 1.9633,              0.0080819,              0.0080819,              0.0080819
                     33,                 1.0948,                0.66941,                 1.8385,                0.72527,                0.66506,                0.71243,                0.52706,                 1.0217,                0.56537,                 1.9673,                0.00802,                0.00802,                0.00802
                     34,                 1.0901,                0.66914,                 1.8378,                0.73344,                 0.6637,                0.71481,                0.53151,                 1.0105,                0.56331,                 1.9562,              0.0079581,              0.0079581,              0.0079581
                     35,                  1.086,                0.66409,                 1.8249,                0.73211,                0.66543,                0.71612,                0.53206,                 1.0107,                0.56147,                 1.9562,              0.0078963,              0.0078963,              0.0078963
                     36,                  1.086,                0.66178,                 1.8316,                0.73279,                  0.667,                0.72035,                0.53592,                 1.0147,                0.56103,                 1.9579,              0.0078344,              0.0078344,              0.0078344
