                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2577,                 1.8112,                 2.6944,                0.33162,                0.20267,                0.25945,                0.15136,                 1.7416,                  1.407,                 2.6418,               0.070027,              0.0033303,              0.0033303
                      2,                 1.7558,                 1.3744,                 2.3747,                0.47482,                0.27225,                0.38984,                0.23171,                 1.5663,                  1.281,                   2.53,               0.039986,              0.0066224,              0.0066224
                      3,                 1.6256,                 1.2583,                 2.2658,                0.49353,                0.30276,                0.40551,                0.25237,                 1.5149,                 1.1478,                 2.4265,              0.0099033,              0.0098733,              0.0098733
                      4,                 1.5435,                 1.1838,                 2.2176,                0.55087,                0.30713,                0.43925,                0.28123,                 1.4317,                 1.0658,                 2.3887,              0.0098144,              0.0098144,              0.0098144
                      5,                 1.4944,                 1.1265,                 2.1778,                0.52327,                0.32923,                0.43647,                0.29294,                 1.3839,                 1.0424,                 2.3363,              0.0097525,              0.0097525,              0.0097525
                      6,                 1.4681,                 1.0973,                 2.1504,                0.50069,                0.37601,                0.44063,                0.28628,                 1.3975,                  1.009,                 2.3323,              0.0096906,              0.0096906,              0.0096906
                      7,                 1.4544,                 1.0801,                 2.1364,                0.51246,                0.37706,                0.44671,                0.29534,                 1.3721,                0.99592,                 2.3034,              0.0096288,              0.0096288,              0.0096288
                      8,                 1.4354,                 1.0608,                 2.1271,                0.52231,                0.38068,                0.45999,                0.30791,                 1.3413,                0.98987,                 2.2854,              0.0095669,              0.0095669,              0.0095669
                      9,                 1.4244,                 1.0444,                 2.1174,                0.53904,                0.38608,                0.47352,                0.31312,                 1.3426,                0.96794,                 2.2973,               0.009505,               0.009505,               0.009505
                     10,                 1.4172,                 1.0333,                 2.1059,                0.56181,                0.39586,                0.48679,                 0.3226,                  1.359,                 0.9622,                 2.3116,              0.0094431,              0.0094431,              0.0094431
                     11,                 1.3966,                 1.0453,                 2.1053,                0.53237,                0.40874,                0.47608,                0.32294,                 1.2866,                0.88966,                 2.2434,              0.0093813,              0.0093813,              0.0093813
                     12,                 1.3406,                0.96546,                 2.0667,                  0.565,                0.45277,                0.51717,                0.34523,                 1.2609,                0.85436,                 2.2073,              0.0093194,              0.0093194,              0.0093194
                     13,                 1.3286,                0.94262,                 2.0468,                0.56412,                0.48428,                0.52171,                0.35172,                 1.2605,                 0.8447,                 2.2149,              0.0092575,              0.0092575,              0.0092575
