                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8101,                 2.3758,                 2.9004,                0.27645,                 0.0213,                0.01973,                 0.0079,                 2.9391,                 2.1438,                 3.4979,                0.07002,              0.0033311,              0.0033311
                      2,                 1.7278,                 1.4149,                  2.241,                0.24155,                 0.2511,                0.20034,                0.12611,                 1.2454,                 1.0462,                 2.1673,               0.039954,              0.0065984,              0.0065984
                      3,                 1.4937,                  1.212,                 2.0417,                0.27826,                0.33716,                0.27528,                0.17497,                 1.2174,                0.95658,                 2.0154,              0.0098223,              0.0097998,              0.0097998
                      4,                 1.3364,                  1.074,                  1.919,                0.34226,                0.45495,                0.35724,                0.24398,                 1.0265,                0.82736,                 1.8781,               0.009703,               0.009703,               0.009703
                      5,                 1.2489,                0.99036,                 1.8499,                0.38539,                0.46626,                0.38985,                0.26603,                0.98759,                 0.7883,                 1.8686,               0.009604,               0.009604,               0.009604
                      6,                 1.2036,                0.94037,                 1.8157,                0.43379,                0.54238,                 0.4441,                0.30872,                0.95465,                0.74394,                 1.8353,               0.009505,               0.009505,               0.009505
                      7,                 1.1679,                 0.9045,                 1.7923,                 0.4837,                0.55337,                0.49559,                0.34669,                0.92256,                0.70879,                  1.808,               0.009406,               0.009406,               0.009406
                      8,                 1.1406,                  0.868,                 1.7619,                0.52549,                0.56852,                0.52398,                0.37105,                0.90652,                0.66673,                 1.7656,               0.009307,               0.009307,               0.009307
                      9,                 1.1237,                0.84846,                 1.7473,                0.53839,                0.58779,                0.53351,                   0.38,                0.89335,                0.67091,                 1.7778,               0.009208,               0.009208,               0.009208
                     10,                 1.1074,                 0.8329,                 1.7358,                0.54945,                0.59451,                0.55392,                0.40087,                0.88329,                0.65022,                 1.7469,               0.009109,               0.009109,               0.009109
                     11,                 1.0953,                0.81767,                  1.721,                0.59154,                 0.6072,                0.56825,                0.40778,                0.88167,                0.62711,                 1.7265,                0.00901,                0.00901,                0.00901
                     12,                 1.0844,                0.80467,                 1.7152,                0.61524,                0.61157,                0.58904,                0.42705,                0.86498,                 0.6153,                  1.721,               0.008911,               0.008911,               0.008911
                     13,                 1.0765,                  0.793,                 1.7146,                0.62841,                0.62268,                 0.6062,                0.44068,                0.86497,                0.60016,                 1.7093,               0.008812,               0.008812,               0.008812
                     14,                 1.0638,                0.77393,                  1.708,                0.63559,                0.61605,                0.61404,                0.45437,                 0.8497,                0.58886,                 1.7118,               0.008713,               0.008713,               0.008713
                     15,                 1.0589,                0.77208,                 1.7015,                0.62909,                0.63843,                0.61112,                 0.4484,                 0.8517,                0.58778,                 1.7074,               0.008614,               0.008614,               0.008614
                     16,                 1.0509,                0.76213,                 1.6901,                0.62995,                0.63316,                0.62195,                0.45822,                0.84224,                0.58555,                 1.7077,               0.008515,               0.008515,               0.008515
                     17,                 1.0427,                0.75394,                 1.6894,                0.64049,                0.64036,                0.62354,                0.46366,                0.83611,                0.57539,                 1.6957,               0.008416,               0.008416,               0.008416
                     18,                 1.0387,                0.74881,                 1.6818,                0.64561,                0.64612,                0.63842,                0.47505,                0.83316,                0.56656,                 1.6931,               0.008317,               0.008317,               0.008317
                     19,                 1.0331,                0.74125,                  1.683,                  0.662,                0.65175,                0.63831,                0.47532,                0.82638,                0.56171,                 1.6812,               0.008218,               0.008218,               0.008218
                     20,                 1.0271,                 0.7331,                 1.6786,                0.67287,                0.63684,                0.64663,                0.48289,                0.82343,                0.55986,                 1.6877,               0.008119,               0.008119,               0.008119
                     21,                 1.0228,                0.73079,                 1.6796,                0.66819,                0.65625,                0.64911,                0.48589,                0.81872,                0.55001,                  1.687,                0.00802,                0.00802,                0.00802
                     22,                 1.0187,                0.72378,                 1.6674,                0.66095,                0.66992,                0.65471,                0.49155,                0.82127,                 0.5496,                 1.6781,               0.007921,               0.007921,               0.007921
                     23,                 1.0191,                0.72581,                 1.6592,                0.66452,                0.67358,                0.66242,                0.49703,                0.81348,                0.54555,                 1.6762,               0.007822,               0.007822,               0.007822
                     24,                 1.0126,                0.72538,                 1.6447,                0.68066,                0.67273,                0.67053,                0.50568,                0.81223,                0.54087,                  1.669,               0.007723,               0.007723,               0.007723
                     25,                  1.009,                0.72313,                 1.6308,                0.67884,                0.66446,                0.66694,                0.50275,                0.81406,                0.54032,                 1.6673,               0.007624,               0.007624,               0.007624
                     26,                 1.0046,                 0.7193,                 1.6247,                0.68506,                0.67092,                0.67917,                0.51111,                0.80979,                0.53568,                 1.6606,               0.007525,               0.007525,               0.007525
                     27,                 1.0008,                 0.7149,                 1.6259,                0.71276,                0.67823,                0.69163,                0.52149,                  0.807,                0.53039,                 1.6546,               0.007426,               0.007426,               0.007426
                     28,                0.99397,                0.70381,                 1.6212,                0.68843,                0.67326,                0.67384,                 0.5098,                0.80427,                0.52914,                 1.6494,               0.007327,               0.007327,               0.007327
                     29,                0.99099,                0.70684,                 1.6133,                0.69725,                0.68243,                0.68556,                0.51905,                0.80331,                0.52838,                 1.6425,               0.007228,               0.007228,               0.007228
                     30,                0.98607,                 0.7015,                 1.6042,                0.70169,                0.68092,                0.68688,                0.52151,                0.80052,                0.52321,                 1.6401,               0.007129,               0.007129,               0.007129
                     31,                0.98107,                0.69377,                 1.6034,                0.71987,                0.67021,                0.69307,                0.52491,                0.79735,                0.52254,                 1.6365,                0.00703,                0.00703,                0.00703
                     32,                0.97942,                0.69339,                 1.6042,                0.72247,                0.67857,                0.69641,                 0.5287,                0.79677,                0.51932,                 1.6322,               0.006931,               0.006931,               0.006931
                     33,                0.97307,                0.68663,                 1.5931,                 0.7182,                0.68172,                0.69652,                0.52914,                0.79551,                0.51719,                 1.6321,               0.006832,               0.006832,               0.006832
                     34,                0.96898,                0.68341,                 1.5923,                0.71583,                0.68639,                 0.6943,                0.52912,                 0.7919,                0.51605,                 1.6319,               0.006733,               0.006733,               0.006733
                     35,                0.96535,                0.68023,                 1.5852,                0.72774,                0.67482,                0.69002,                0.52634,                0.79199,                0.51696,                 1.6286,               0.006634,               0.006634,               0.006634
                     36,                0.95632,                0.66595,                 1.5775,                0.74568,                0.66647,                0.69981,                0.53397,                0.79129,                0.51411,                 1.6237,               0.006535,               0.006535,               0.006535
                     37,                0.95657,                0.66733,                 1.5807,                0.74196,                0.66976,                0.70139,                0.53643,                0.79087,                0.51236,                 1.6208,               0.006436,               0.006436,               0.006436
