                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8105,                 2.3742,                  2.911,                0.31831,                0.07064,                0.06001,                0.03071,                  1.936,                 1.6161,                 2.7728,               0.070017,              0.0033315,              0.0033315
                      2,                 1.7718,                 1.4569,                  2.262,                0.21058,                0.20282,                0.17266,                0.10667,                 1.3169,                 1.1266,                 2.2059,               0.039973,              0.0066208,              0.0066208
                      3,                 1.5078,                 1.2278,                 2.0451,                 0.1892,                0.26479,                0.17634,                0.11025,                 1.3963,                 1.4115,                 2.3185,              0.0098849,              0.0098662,              0.0098662
                      4,                 1.3496,                 1.0885,                 1.9261,                0.39423,                0.40896,                0.32996,                0.22451,                 1.0436,                0.86162,                 1.9158,               0.009802,               0.009802,               0.009802
                      5,                  1.261,                  1.005,                 1.8687,                0.40587,                0.51393,                0.42547,                0.28902,                0.99676,                0.77945,                 1.8481,               0.009736,               0.009736,               0.009736
                      6,                 1.2126,                0.95097,                 1.8204,                0.42152,                0.54486,                0.46812,                0.32468,                0.95422,                0.74357,                 1.8565,                0.00967,                0.00967,                0.00967
                      7,                 1.1774,                0.91511,                 1.7964,                0.49461,                0.55133,                0.49699,                0.34747,                0.92988,                0.70546,                 1.7877,               0.009604,               0.009604,               0.009604
                      8,                 1.1504,                 0.8826,                 1.7673,                0.52805,                0.55769,                 0.5077,                0.36253,                0.91216,                0.68673,                 1.7743,               0.009538,               0.009538,               0.009538
                      9,                  1.131,                0.85965,                 1.7529,                0.53156,                0.58275,                0.53411,                0.38342,                0.90984,                0.66416,                 1.7674,               0.009472,               0.009472,               0.009472
                     10,                 1.1178,                0.84147,                 1.7465,                0.54749,                0.60311,                 0.5572,                0.39968,                 0.8851,                0.66225,                 1.7603,               0.009406,               0.009406,               0.009406
                     11,                 1.1054,                0.82589,                  1.736,                0.58031,                0.60494,                0.57132,                0.41373,                0.87793,                0.63514,                 1.7366,                0.00934,                0.00934,                0.00934
                     12,                 1.0959,                0.81416,                 1.7275,                0.57094,                 0.6022,                0.56791,                0.41293,                0.87215,                0.62923,                 1.7491,               0.009274,               0.009274,               0.009274
                     13,                 1.0804,                0.79819,                 1.7119,                0.58071,                0.62409,                0.57963,                0.42473,                 0.8662,                 0.6216,                  1.725,               0.009208,               0.009208,               0.009208
                     14,                 1.0726,                0.78607,                 1.7087,                0.62666,                0.63744,                0.61178,                0.45285,                 0.8543,                0.60344,                 1.7167,               0.009142,               0.009142,               0.009142
                     15,                 1.0729,                 0.7829,                 1.7111,                 0.6175,                0.63416,                0.60732,                0.45058,                0.84293,                0.60074,                 1.7129,               0.009076,               0.009076,               0.009076
                     16,                 1.0746,                0.78545,                 1.6981,                0.64044,                0.63129,                0.61639,                0.45685,                  0.842,                0.59394,                 1.7081,                0.00901,                0.00901,                0.00901
                     17,                  1.064,                 0.7775,                 1.6812,                0.64782,                0.63434,                0.62959,                0.46605,                0.83898,                0.58441,                  1.698,               0.008944,               0.008944,               0.008944
                     18,                 1.0566,                0.77251,                 1.6736,                0.64491,                0.64043,                0.63374,                0.47316,                0.83104,                0.57732,                 1.6912,               0.008878,               0.008878,               0.008878
                     19,                 1.0436,                0.75696,                 1.6617,                0.66545,                0.65058,                0.64819,                0.48612,                0.82828,                0.57199,                 1.6793,               0.008812,               0.008812,               0.008812
                     20,                 1.0362,                0.75568,                  1.651,                0.66287,                0.65456,                0.64377,                0.48274,                0.82507,                0.56876,                  1.668,               0.008746,               0.008746,               0.008746
                     21,                 1.0352,                0.75247,                 1.6427,                0.66928,                0.65225,                0.65336,                0.48893,                0.82509,                0.56294,                 1.6618,                0.00868,                0.00868,                0.00868
                     22,                 1.0275,                0.74336,                 1.6313,                0.67013,                0.66171,                0.66322,                0.50037,                0.81661,                0.55487,                 1.6516,               0.008614,               0.008614,               0.008614
                     23,                 1.0206,                 0.7369,                 1.6297,                0.69031,                0.65622,                0.66923,                0.50531,                0.81453,                0.55159,                  1.646,               0.008548,               0.008548,               0.008548
                     24,                  1.014,                0.73281,                 1.6219,                0.69128,                0.66972,                0.67154,                0.50848,                0.81374,                0.54974,                  1.643,               0.008482,               0.008482,               0.008482
                     25,                  1.015,                0.73258,                 1.6185,                0.68995,                0.66705,                0.67338,                0.51108,                 0.8106,                0.54583,                 1.6368,               0.008416,               0.008416,               0.008416
                     26,                 1.0111,                0.73073,                 1.6125,                0.69581,                0.67466,                0.67963,                0.51592,                0.80819,                0.54209,                 1.6323,                0.00835,                0.00835,                0.00835
                     27,                 1.0088,                0.72763,                 1.6081,                0.68957,                0.68364,                0.68265,                0.51829,                0.80496,                0.53782,                 1.6261,               0.008284,               0.008284,               0.008284
                     28,                 1.0025,                 0.7221,                 1.6025,                0.71339,                 0.6607,                0.68546,                0.52196,                0.80171,                0.53598,                 1.6267,               0.008218,               0.008218,               0.008218
                     29,                0.99862,                0.71662,                 1.5985,                0.71819,                0.66794,                0.68593,                0.52081,                0.80301,                0.53552,                 1.6251,               0.008152,               0.008152,               0.008152
                     30,                0.99654,                0.71553,                 1.5947,                0.70342,                0.68121,                0.68548,                 0.5228,                0.80186,                0.53316,                 1.6239,               0.008086,               0.008086,               0.008086
                     31,                0.99555,                0.71352,                 1.5995,                0.69914,                0.67732,                0.68483,                0.52353,                0.79965,                0.53069,                 1.6198,                0.00802,                0.00802,                0.00802
                     32,                0.99012,                 0.7102,                  1.583,                0.71693,                0.67906,                0.69283,                0.52912,                0.79646,                0.52751,                  1.615,               0.007954,               0.007954,               0.007954
                     33,                0.98773,                0.70614,                 1.5802,                0.70406,                0.67999,                0.69477,                0.52902,                 0.7961,                0.52594,                 1.6134,               0.007888,               0.007888,               0.007888
                     34,                0.97947,                0.69762,                 1.5782,                0.70967,                0.68948,                0.70062,                0.53408,                0.79537,                0.52381,                 1.6092,               0.007822,               0.007822,               0.007822
                     35,                0.97918,                0.69949,                 1.5764,                0.72651,                0.68638,                0.70628,                0.53948,                0.79325,                0.51845,                  1.608,               0.007756,               0.007756,               0.007756
                     36,                0.97723,                0.69408,                 1.5692,                0.71902,                0.69374,                0.70504,                0.53677,                0.79232,                 0.5176,                 1.6043,                0.00769,                0.00769,                0.00769
                     37,                0.97387,                0.69007,                 1.5638,                0.72092,                0.68934,                0.70548,                0.53826,                0.79148,                0.51631,                 1.6057,               0.007624,               0.007624,               0.007624
                     38,                 0.9753,                0.69169,                 1.5753,                0.71993,                 0.6864,                 0.7063,                0.53934,                0.79064,                0.51561,                 1.6034,               0.007558,               0.007558,               0.007558
                     39,                0.97009,                0.68805,                 1.5613,                0.72798,                0.67754,                0.70513,                0.53985,                0.78861,                0.51441,                 1.6013,               0.007492,               0.007492,               0.007492
                     40,                0.96433,                0.68249,                 1.5617,                 0.7369,                0.67515,                0.70756,                0.54287,                0.78722,                0.51272,                 1.6002,               0.007426,               0.007426,               0.007426
                     41,                0.96266,                0.68068,                 1.5658,                0.73561,                0.68319,                0.70795,                0.54367,                0.78664,                0.51166,                  1.598,                0.00736,                0.00736,                0.00736
                     42,                0.96431,                0.67944,                 1.5654,                0.73121,                0.68892,                0.70902,                0.54481,                0.78608,                0.51043,                 1.5966,               0.007294,               0.007294,               0.007294
