                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3087,                 2.0907,                 3.0286,                0.16815,                0.10831,                0.10035,                0.06113,                 1.5306,                 1.4122,                  2.503,               0.070013,              0.0033318,              0.0033318
                      2,                 1.5644,                  1.361,                 2.4932,                 0.2777,                0.33011,                0.28984,                0.17754,                 1.3077,                 1.1175,                 2.1617,               0.039969,              0.0066212,              0.0066212
                      3,                 1.3706,                 1.1759,                 2.2709,                 0.3268,                0.39924,                0.33612,                0.22553,                 1.1047,                0.97398,                 2.0702,              0.0098815,              0.0098665,              0.0098665
                      4,                 1.2457,                 1.0559,                 2.1499,                0.34341,                0.44281,                0.34994,                0.24139,                 1.0367,                0.88671,                 1.9588,               0.009802,               0.009802,               0.009802
                      5,                  1.167,                0.96911,                  2.075,                0.42542,                0.46047,                0.40159,                0.27653,                 1.0363,                 0.8513,                 1.9197,               0.009736,               0.009736,               0.009736
                      6,                 1.1124,                0.90884,                 2.0186,                 0.4268,                0.49694,                0.42075,                0.30119,                 0.9407,                0.77873,                  1.876,                0.00967,                0.00967,                0.00967
                      7,                 1.0808,                0.87214,                 1.9871,                0.46434,                0.51068,                 0.4607,                0.33086,                0.92302,                0.74877,                  1.849,               0.009604,               0.009604,               0.009604
                      8,                 1.0658,                0.84981,                 1.9658,                0.46827,                0.49953,                0.46438,                 0.3351,                0.90759,                0.72572,                 1.8349,               0.009538,               0.009538,               0.009538
                      9,                 1.0525,                0.82855,                 1.9494,                0.50991,                0.51702,                0.48846,                0.35645,                0.89896,                0.70491,                 1.8019,               0.009472,               0.009472,               0.009472
                     10,                 1.0352,                0.80758,                 1.9307,                0.51195,                0.50017,                0.47321,                0.34163,                0.88342,                0.70775,                 1.8258,               0.009406,               0.009406,               0.009406
                     11,                 1.0215,                0.79202,                 1.9223,                0.54752,                0.53399,                0.52122,                0.38329,                0.87829,                 0.6739,                  1.792,                0.00934,                0.00934,                0.00934
                     12,                  1.016,                0.78391,                 1.9129,                0.55258,                0.55992,                0.53331,                0.39225,                0.88658,                0.66234,                 1.7711,               0.009274,               0.009274,               0.009274
                     13,                 1.0038,                0.76654,                 1.8934,                0.54691,                0.56791,                0.53566,                0.39629,                0.85906,                0.64563,                 1.7687,               0.009208,               0.009208,               0.009208
                     14,                0.99865,                0.76187,                  1.891,                0.57853,                0.56794,                0.55391,                0.41495,                0.85209,                0.64143,                  1.763,               0.009142,               0.009142,               0.009142
                     15,                0.98676,                0.74806,                  1.878,                0.56198,                0.57769,                0.55551,                0.41432,                 0.8489,                0.63266,                 1.7515,               0.009076,               0.009076,               0.009076
                     16,                0.98189,                0.74304,                 1.8762,                0.57239,                0.58797,                0.56249,                 0.4182,                0.84099,                0.62389,                 1.7457,                0.00901,                0.00901,                0.00901
                     17,                0.97307,                 0.7324,                 1.8737,                0.57998,                0.59192,                0.56896,                0.42615,                0.83349,                0.61818,                 1.7478,               0.008944,               0.008944,               0.008944
                     18,                0.96996,                0.72516,                 1.8637,                0.59341,                0.58381,                 0.5695,                0.42628,                 0.8362,                  0.613,                 1.7266,               0.008878,               0.008878,               0.008878
