                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3644,                 2.1297,                 3.1177,                0.48677,                0.12442,                0.11865,                0.06883,                 1.6038,                  1.338,                 2.6257,                0.07002,              0.0033311,              0.0033311
                      2,                 1.5792,                 1.3767,                  2.653,                0.26751,                0.22337,                0.19562,                0.11826,                 1.2833,                 1.0821,                 2.3625,               0.039954,              0.0065984,              0.0065984
                      3,                 1.3927,                 1.1897,                 2.4524,                0.24871,                0.25407,                0.18799,                0.12595,                 1.1499,                 1.0373,                 2.2263,              0.0098223,              0.0097998,              0.0097998
                      4,                  1.269,                 1.0617,                 2.3263,                0.29239,                0.29395,                0.22325,                0.15537,                 1.0635,                0.90637,                 2.1267,               0.009703,               0.009703,               0.009703
                      5,                 1.1834,                0.96846,                 2.2412,                 0.4069,                 0.4413,                0.38496,                0.26743,                0.99016,                0.81831,                 2.0481,               0.009604,               0.009604,               0.009604
                      6,                 1.1331,                0.91219,                 2.1948,                0.46472,                0.45229,                0.40977,                0.28715,                0.96264,                0.78006,                 2.0031,               0.009505,               0.009505,               0.009505
                      7,                 1.1082,                0.88528,                 2.1715,                0.44695,                0.44395,                0.39944,                0.28285,                0.94676,                0.77177,                 1.9957,               0.009406,               0.009406,               0.009406
                      8,                 1.0826,                0.85369,                 2.1446,                0.47431,                0.49375,                0.45611,                0.32536,                0.90782,                0.72242,                 1.9724,               0.009307,               0.009307,               0.009307
                      9,                 1.0626,                0.83374,                 2.1236,                0.48852,                  0.477,                0.44586,                0.31539,                0.91182,                0.71571,                 1.9611,               0.009208,               0.009208,               0.009208
                     10,                   1.05,                0.81439,                  2.109,                0.51286,                0.51769,                0.50263,                0.35582,                0.89577,                0.69232,                  1.944,               0.009109,               0.009109,               0.009109
                     11,                 1.0402,                 0.8047,                 2.1009,                0.50125,                0.50848,                0.48009,                0.34409,                0.89086,                0.70086,                 1.9483,                0.00901,                0.00901,                0.00901
                     12,                 1.0261,                0.78945,                 2.0897,                0.54167,                0.53603,                0.51508,                0.37191,                0.86765,                0.66604,                  1.928,               0.008911,               0.008911,               0.008911
                     13,                 1.0172,                0.77717,                 2.0771,                0.56577,                0.55143,                0.53352,                0.38519,                0.86684,                0.65691,                 1.9172,               0.008812,               0.008812,               0.008812
                     14,                  1.009,                0.76604,                  2.065,                0.54907,                0.54416,                0.52784,                0.38044,                0.86528,                0.65805,                 1.9132,               0.008713,               0.008713,               0.008713
                     15,                0.99603,                0.75366,                 2.0577,                0.55921,                0.53842,                0.52513,                0.38227,                0.85401,                0.64956,                 1.9043,               0.008614,               0.008614,               0.008614
                     16,                0.99393,                0.75247,                 2.0406,                0.56727,                0.55012,                0.54639,                0.39611,                0.85516,                0.63949,                 1.8901,               0.008515,               0.008515,               0.008515
                     17,                0.98844,                0.74278,                 2.0297,                0.57227,                0.54226,                0.53672,                0.39313,                0.84033,                0.63856,                 1.8945,               0.008416,               0.008416,               0.008416
                     18,                0.98793,                0.74549,                 2.0259,                0.57718,                0.57156,                0.55432,                0.40355,                0.84779,                 0.6352,                 1.8854,               0.008317,               0.008317,               0.008317
                     19,                 0.9797,                0.73517,                 2.0218,                0.57261,                0.56784,                0.55514,                0.40758,                0.83941,                0.62636,                 1.8758,               0.008218,               0.008218,               0.008218
                     20,                0.97247,                 0.7256,                 2.0099,                0.57818,                0.58501,                0.56796,                0.42085,                 0.8338,                0.61652,                 1.8635,               0.008119,               0.008119,               0.008119
                     21,                0.97072,                0.72081,                 2.0019,                0.59131,                0.58171,                0.56774,                0.42189,                0.82928,                0.61437,                 1.8627,                0.00802,                0.00802,                0.00802
                     22,                 0.9628,                0.71838,                 2.0045,                0.60734,                0.57559,                  0.575,                0.42765,                0.82547,                0.60856,                 1.8628,               0.007921,               0.007921,               0.007921
                     23,                0.95914,                0.71378,                  1.988,                  0.599,                0.58745,                0.57954,                0.43091,                0.82062,                0.60594,                 1.8565,               0.007822,               0.007822,               0.007822
