                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6694,                 2.2482,                 2.8708,                0.22129,                  0.156,                0.19681,                0.11451,                  1.795,                 1.4622,                 2.7294,               0.070027,              0.0033303,              0.0033303
                      2,                  1.776,                 1.4454,                 2.3933,                0.21272,                0.16355,                0.20183,                0.12695,                 1.6251,                 1.5132,                 2.5834,               0.039997,              0.0066337,              0.0066337
                      3,                 1.5979,                 1.2759,                 2.2437,                0.38506,                0.20417,                0.30147,                0.20743,                 1.4108,                 1.1035,                  2.379,               0.009937,               0.009907,               0.009907
                      4,                 1.4943,                 1.1827,                 2.1781,                0.42434,                0.25823,                0.34703,                0.24082,                 1.2879,                 1.0324,                  2.275,               0.009865,               0.009865,               0.009865
                      5,                 1.4167,                 1.0959,                  2.121,                 0.4115,                0.26789,                0.35488,                 0.2458,                 1.2994,                 1.0203,                 2.2784,                0.00982,                0.00982,                0.00982
                      6,                 1.3681,                 1.0424,                  2.079,                0.51726,                0.31605,                 0.4243,                0.29882,                 1.2634,                0.93409,                 2.2152,               0.009775,               0.009775,               0.009775
                      7,                 1.3453,                 1.0185,                 2.0587,                0.53347,                0.35124,                0.44573,                0.31791,                 1.2335,                0.89858,                 2.1875,                0.00973,                0.00973,                0.00973
                      8,                 1.3269,                0.98875,                 2.0437,                0.57693,                0.39657,                0.48862,                0.34877,                 1.2027,                0.86171,                 2.1493,               0.009685,               0.009685,               0.009685
                      9,                 1.3103,                0.96479,                 2.0275,                0.58131,                0.38411,                0.49945,                0.35137,                 1.1859,                0.84994,                 2.1484,                0.00964,                0.00964,                0.00964
                     10,                 1.3014,                0.95373,                 2.0163,                0.63578,                0.39291,                0.52612,                0.37999,                 1.1831,                0.82504,                 2.1472,               0.009595,               0.009595,               0.009595
                     11,                  1.293,                0.94354,                 2.0109,                0.57529,                0.45774,                0.52634,                0.37207,                  1.191,                0.82285,                 2.1692,                0.00955,                0.00955,                0.00955
                     12,                 1.2803,                0.92443,                 2.0053,                0.60982,                0.45988,                0.53657,                0.38654,                 1.1632,                0.79474,                  2.112,               0.009505,               0.009505,               0.009505
                     13,                 1.2714,                0.91421,                 1.9865,                0.61138,                0.48165,                0.55279,                0.39724,                 1.1657,                0.79291,                 2.1079,                0.00946,                0.00946,                0.00946
                     14,                  1.271,                 0.9181,                 1.9803,                0.63066,                0.47881,                0.56191,                0.40255,                 1.1872,                0.79941,                 2.1347,               0.009415,               0.009415,               0.009415
                     15,                  1.264,                0.91126,                 1.9562,                0.58174,                0.49007,                0.54167,                0.39716,                 1.1384,                0.79368,                 2.0749,                0.00937,                0.00937,                0.00937
                     16,                 1.2565,                 0.9018,                 1.9408,                0.58655,                0.49964,                0.54805,                0.39804,                 1.1404,                0.78281,                 2.0703,               0.009325,               0.009325,               0.009325
                     17,                 1.2502,                0.90225,                 1.9265,                0.60443,                0.51043,                0.56133,                0.40883,                 1.1266,                0.77481,                 2.0415,                0.00928,                0.00928,                0.00928
                     18,                 1.2436,                  0.896,                 1.9129,                0.63381,                0.49188,                0.57317,                 0.4188,                 1.1414,                0.77356,                 2.0462,               0.009235,               0.009235,               0.009235
                     19,                 1.2355,                0.88862,                 1.8986,                0.61182,                0.51161,                0.57088,                0.41771,                 1.1241,                0.76409,                  2.014,                0.00919,                0.00919,                0.00919
                     20,                 1.2317,                0.88319,                 1.8852,                0.62386,                0.51106,                0.57911,                0.42558,                 1.1073,                 0.7597,                 1.9935,               0.009145,               0.009145,               0.009145
                     21,                 1.2279,                0.88414,                 1.8703,                0.61372,                0.52545,                0.58124,                0.42416,                  1.112,                0.75941,                 1.9853,                 0.0091,                 0.0091,                 0.0091
                     22,                 1.2184,                0.87347,                 1.8635,                0.61821,                0.53242,                 0.5901,                0.43283,                 1.1082,                0.75092,                   1.99,               0.009055,               0.009055,               0.009055
                     23,                 1.2134,                0.87294,                 1.8516,                0.62542,                0.52753,                0.59128,                0.43616,                  1.095,                0.74488,                 1.9621,                0.00901,                0.00901,                0.00901
                     24,                 1.2138,                0.86777,                 1.8467,                0.62151,                0.52574,                0.58954,                0.43494,                 1.0895,                0.74165,                 1.9546,               0.008965,               0.008965,               0.008965
                     25,                 1.2088,                0.86477,                 1.8382,                0.61331,                0.54739,                0.59339,                0.43745,                 1.0897,                0.73865,                 1.9414,                0.00892,                0.00892,                0.00892
