                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4866,                  2.074,                 2.7677,                0.67987,                0.12597,                0.22287,                0.13296,                 1.7742,                  1.514,                 2.6691,               0.070018,              0.0033313,              0.0033313
                      2,                  1.704,                 1.3692,                 2.3147,                0.37786,                0.21931,                0.30254,                0.20636,                 1.4452,                 1.1509,                 2.3909,               0.039977,              0.0066234,              0.0066234
                      3,                 1.5394,                 1.2191,                 2.1924,                0.37976,                0.20631,                 0.2975,                0.19926,                 1.3929,                 1.1484,                  2.382,              0.0098943,              0.0098743,              0.0098743
                      4,                 1.4298,                 1.1132,                 2.1157,                0.52571,                0.30734,                0.42772,                0.29622,                 1.2611,                0.95045,                 2.1898,              0.0098144,              0.0098144,              0.0098144
                      5,                 1.3675,                 1.0417,                 2.0657,                 0.5093,                 0.4194,                0.45771,                0.32032,                 1.2216,                0.91785,                 2.1706,              0.0097525,              0.0097525,              0.0097525
                      6,                 1.3351,                 1.0002,                 2.0385,                0.58168,                0.42408,                 0.5079,                0.35683,                 1.1977,                0.83859,                  2.187,              0.0096906,              0.0096906,              0.0096906
                      7,                 1.3073,                0.96279,                 2.0136,                0.62137,                0.43696,                0.53189,                0.38935,                 1.1617,                0.82468,                 2.1464,              0.0096288,              0.0096288,              0.0096288
                      8,                 1.2928,                0.94261,                 2.0008,                0.62686,                0.44797,                0.54469,                 0.3893,                 1.1765,                0.80595,                 2.1403,              0.0095669,              0.0095669,              0.0095669
                      9,                 1.2797,                0.92033,                 1.9862,                0.61345,                0.49137,                0.55292,                0.40433,                  1.134,                0.77609,                 2.0894,               0.009505,               0.009505,               0.009505
                     10,                 1.2685,                0.90824,                 1.9795,                 0.6282,                0.47628,                0.56067,                0.41194,                 1.1285,                0.76478,                 2.0958,              0.0094431,              0.0094431,              0.0094431
                     11,                 1.2641,                0.90369,                 1.9723,                0.63408,                0.49515,                0.57531,                0.42209,                 1.1401,                0.76652,                 2.0782,              0.0093813,              0.0093813,              0.0093813
                     12,                 1.2584,                0.90261,                 1.9462,                0.61681,                0.51328,                0.57634,                 0.4196,                 1.1196,                0.74949,                 2.0474,              0.0093194,              0.0093194,              0.0093194
                     13,                 1.2521,                0.90369,                 1.9234,                0.62058,                0.52065,                  0.581,                0.43023,                  1.117,                0.75159,                 2.0221,              0.0092575,              0.0092575,              0.0092575
                     14,                 1.2428,                0.89363,                 1.8953,                0.64248,                0.52426,                0.59664,                0.43677,                 1.1092,                0.74407,                 1.9926,              0.0091956,              0.0091956,              0.0091956
                     15,                 1.2318,                 0.8843,                   1.88,                0.64286,                0.53558,                0.60386,                0.44752,                 1.0952,                0.73786,                 1.9745,              0.0091337,              0.0091337,              0.0091337
                     16,                 1.2299,                0.88304,                 1.8712,                0.64707,                0.53206,                0.60655,                0.44971,                 1.0929,                0.73487,                 1.9625,              0.0090719,              0.0090719,              0.0090719
                     17,                 1.2206,                0.87414,                 1.8518,                0.65109,                0.54376,                 0.6152,                0.45714,                 1.0804,                0.72607,                 1.9405,                0.00901,                0.00901,                0.00901
                     18,                 1.2129,                0.86733,                 1.8349,                0.65585,                0.55491,                0.62757,                0.46542,                 1.0762,                0.71709,                  1.933,              0.0089481,              0.0089481,              0.0089481
                     19,                 1.2111,                0.86416,                 1.8273,                0.66737,                0.56144,                0.63354,                  0.469,                  1.086,                0.72112,                 1.9307,              0.0088863,              0.0088863,              0.0088863
                     20,                 1.2053,                0.85867,                 1.8165,                  0.659,                0.54772,                0.62401,                0.46402,                 1.0854,                0.72742,                 1.9165,              0.0088244,              0.0088244,              0.0088244
                     21,                 1.2014,                 0.8529,                 1.8109,                0.65833,                0.56305,                0.63029,                0.47159,                  1.072,                0.71467,                 1.9071,              0.0087625,              0.0087625,              0.0087625
                     22,                 1.1989,                0.85312,                 1.8061,                0.66421,                0.56503,                 0.6366,                0.47626,                 1.0676,                0.70909,                 1.8944,              0.0087006,              0.0087006,              0.0087006
                     23,                 1.1948,                0.84772,                 1.8029,                0.67065,                0.57906,                0.64885,                0.48643,                 1.0616,                0.70084,                 1.8858,              0.0086388,              0.0086388,              0.0086388
                     24,                 1.1913,                0.84566,                 1.7927,                0.67744,                 0.5807,                0.65605,                0.49263,                 1.0592,                0.69805,                 1.8791,              0.0085769,              0.0085769,              0.0085769
                     25,                 1.1885,                0.84078,                 1.7916,                0.67634,                0.58468,                0.65533,                0.49262,                 1.0568,                0.69353,                 1.8747,               0.008515,               0.008515,               0.008515
                     26,                 1.1789,                0.82989,                 1.7817,                0.67619,                0.59251,                0.66182,                0.49771,                 1.0507,                0.68654,                 1.8688,              0.0084531,              0.0084531,              0.0084531
                     27,                 1.1845,                0.83658,                 1.7795,                0.67719,                 0.5864,                0.65849,                 0.4959,                 1.0497,                0.68709,                 1.8629,              0.0083913,              0.0083913,              0.0083913
                     28,                 1.1809,                0.83066,                 1.7779,                0.68368,                0.59759,                0.67043,                0.50469,                 1.0488,                0.68485,                  1.859,              0.0083294,              0.0083294,              0.0083294
                     29,                 1.1791,                0.82738,                 1.7669,                0.68054,                0.59222,                0.66679,                0.50322,                 1.0531,                0.68894,                 1.8603,              0.0082675,              0.0082675,              0.0082675
                     30,                 1.1706,                  0.819,                 1.7696,                 0.6843,                0.59541,                0.66944,                0.50558,                 1.0523,                0.68895,                 1.8566,              0.0082056,              0.0082056,              0.0082056
                     31,                 1.1711,                0.81889,                 1.7655,                0.69056,                0.60787,                0.68005,                  0.512,                 1.0502,                 0.6834,                 1.8556,              0.0081437,              0.0081437,              0.0081437
                     32,                 1.1735,                0.82249,                 1.7663,                0.69304,                0.60443,                  0.681,                0.51522,                 1.0425,                0.67759,                 1.8462,              0.0080819,              0.0080819,              0.0080819
                     33,                 1.1664,                0.81061,                 1.7546,                0.69437,                0.60535,                0.68066,                 0.5127,                 1.0477,                0.68404,                 1.8497,                0.00802,                0.00802,                0.00802
                     34,                 1.1684,                0.81321,                 1.7607,                0.69286,                0.61452,                0.68625,                0.51896,                 1.0419,                0.67383,                 1.8432,              0.0079581,              0.0079581,              0.0079581
                     35,                 1.1648,                0.80962,                 1.7556,                0.69385,                0.61167,                0.68508,                0.51755,                 1.0389,                0.67011,                 1.8408,              0.0078963,              0.0078963,              0.0078963
                     36,                 1.1593,                0.80644,                 1.7492,                0.71626,                0.59768,                0.68564,                0.51972,                 1.0422,                0.67554,                   1.84,              0.0078344,              0.0078344,              0.0078344
                     37,                 1.1588,                 0.8036,                 1.7485,                0.70196,                0.60746,                0.68423,                0.51841,                 1.0382,                0.67123,                 1.8377,              0.0077725,              0.0077725,              0.0077725
                     38,                 1.1577,                0.80035,                 1.7472,                 0.7112,                0.60527,                0.68733,                0.52047,                 1.0374,                0.67094,                 1.8354,              0.0077106,              0.0077106,              0.0077106
                     39,                 1.1568,                0.79923,                 1.7503,                0.71703,                0.60563,                0.69142,                0.52388,                 1.0354,                0.66825,                 1.8354,              0.0076488,              0.0076488,              0.0076488
                     40,                 1.1483,                0.78923,                 1.7357,                 0.7104,                0.61317,                0.69228,                0.52624,                 1.0302,                0.65939,                  1.829,              0.0075869,              0.0075869,              0.0075869
                     41,                 1.1535,                0.79467,                 1.7422,                0.71181,                0.60228,                0.68797,                0.52261,                 1.0367,                0.67094,                 1.8335,               0.007525,               0.007525,               0.007525
                     42,                 1.1496,                 0.7895,                 1.7366,                0.70612,                0.60427,                0.68435,                0.52027,                 1.0386,                 0.6718,                 1.8334,              0.0074631,              0.0074631,              0.0074631
                     43,                 1.1493,                0.79163,                 1.7374,                0.71797,                 0.6099,                0.69331,                0.52723,                 1.0384,                0.66872,                 1.8329,              0.0074013,              0.0074013,              0.0074013
                     44,                 1.1503,                0.79073,                 1.7348,                0.69981,                0.62371,                0.69519,                 0.5279,                  1.034,                0.66719,                 1.8294,              0.0073394,              0.0073394,              0.0073394
                     45,                 1.1483,                0.78707,                  1.729,                0.72279,                0.61353,                 0.6982,                0.53012,                  1.032,                0.66227,                 1.8268,              0.0072775,              0.0072775,              0.0072775
                     46,                 1.1476,                0.78762,                 1.7279,                0.71861,                0.61268,                0.69566,                 0.5289,                 1.0333,                0.66379,                 1.8271,              0.0072156,              0.0072156,              0.0072156
                     47,                 1.1443,                0.78284,                 1.7303,                0.71958,                0.62009,                0.70032,                0.53144,                 1.0309,                0.65979,                 1.8256,              0.0071538,              0.0071538,              0.0071538
                     48,                 1.1442,                0.78222,                 1.7323,                0.70719,                0.61933,                 0.6963,                0.52955,                 1.0288,                0.65681,                 1.8217,              0.0070919,              0.0070919,              0.0070919
                     49,                 1.1421,                0.78089,                 1.7295,                0.72424,                0.62203,                0.70475,                0.53542,                 1.0316,                0.65836,                 1.8254,                0.00703,                0.00703,                0.00703
                     50,                  1.141,                0.77945,                 1.7192,                0.72304,                0.61592,                0.69912,                0.53111,                 1.0343,                0.66396,                 1.8254,              0.0069681,              0.0069681,              0.0069681
                     51,                 1.1402,                0.77709,                 1.7243,                0.72239,                0.61752,                0.70074,                0.53186,                 1.0358,                0.66273,                 1.8261,              0.0069063,              0.0069063,              0.0069063
                     52,                 1.1342,                0.77463,                 1.7144,                0.72722,                 0.6187,                0.70405,                0.53628,                 1.0299,                0.65599,                 1.8194,              0.0068444,              0.0068444,              0.0068444
                     53,                 1.1334,                0.77695,                 1.7175,                0.73494,                0.61212,                 0.7013,                0.53339,                 1.0303,                0.65681,                 1.8204,              0.0067825,              0.0067825,              0.0067825
                     54,                 1.1268,                0.77049,                 1.7099,                0.71701,                0.62581,                 0.7054,                0.53795,                 1.0284,                0.65574,                 1.8164,              0.0067206,              0.0067206,              0.0067206
                     55,                  1.123,                0.76951,                 1.7064,                0.72576,                0.61877,                0.70319,                 0.5347,                 1.0284,                0.65621,                 1.8166,              0.0066587,              0.0066587,              0.0066587
                     56,                 1.1119,                0.76483,                 1.6964,                0.73592,                0.61289,                0.70281,                0.53611,                 1.0271,                0.65508,                 1.8163,              0.0065969,              0.0065969,              0.0065969
                     57,                 1.1072,                 0.7611,                 1.6981,                0.73839,                0.61027,                0.70297,                0.53476,                 1.0355,                0.66416,                 1.8205,               0.006535,               0.006535,               0.006535
                     58,                 1.1047,                0.76086,                 1.6868,                0.73619,                0.61988,                0.70816,                0.53884,                 1.0308,                0.65604,                  1.817,              0.0064731,              0.0064731,              0.0064731
                     59,                 1.1013,                0.75913,                  1.687,                0.73194,                0.62248,                0.70821,                0.54042,                 1.0299,                0.65423,                 1.8134,              0.0064112,              0.0064112,              0.0064112
                     60,                 1.0943,                0.75557,                 1.6781,                0.73902,                0.61713,                 0.7074,                0.53967,                 1.0257,                0.64887,                 1.8091,              0.0063494,              0.0063494,              0.0063494
                     61,                 1.0986,                0.76065,                 1.6871,                0.72047,                0.62187,                0.70366,                0.53535,                 1.0309,                0.65388,                 1.8125,              0.0062875,              0.0062875,              0.0062875
                     62,                 1.0926,                0.75376,                 1.6775,                0.73435,                0.61464,                0.70393,                0.53691,                 1.0298,                 0.6529,                   1.81,              0.0062256,              0.0062256,              0.0062256
                     63,                 1.0909,                0.75492,                 1.6755,                0.74391,                0.61576,                0.70904,                0.54054,                   1.03,                0.65057,                 1.8082,              0.0061637,              0.0061637,              0.0061637
                     64,                 1.0868,                0.75225,                 1.6715,                0.73322,                0.61854,                0.70657,                0.53732,                 1.0296,                0.65109,                 1.8089,              0.0061019,              0.0061019,              0.0061019
                     65,                  1.087,                0.75344,                 1.6699,                0.73576,                0.60783,                0.70164,                0.53315,                 1.0336,                 0.6544,                 1.8098,                0.00604,                0.00604,                0.00604
                     66,                 1.0808,                0.74437,                 1.6689,                0.73833,                0.60683,                0.70132,                0.53527,                 1.0252,                0.64494,                  1.801,              0.0059781,              0.0059781,              0.0059781
                     67,                 1.0785,                0.74583,                 1.6679,                 0.7426,                0.62289,                0.71254,                 0.5416,                 1.0245,                0.64487,                 1.7997,              0.0059163,              0.0059163,              0.0059163
                     68,                 1.0791,                0.74577,                 1.6676,                0.73711,                0.61965,                0.70991,                0.54118,                  1.032,                0.64877,                 1.8055,              0.0058544,              0.0058544,              0.0058544
                     69,                 1.0745,                0.74025,                 1.6632,                0.73227,                0.61411,                0.70427,                0.53591,                 1.0305,                0.64887,                 1.8034,              0.0057925,              0.0057925,              0.0057925
                     70,                 1.0764,                0.74385,                 1.6623,                0.73501,                0.61761,                0.70723,                0.53669,                 1.0378,                0.65537,                 1.8051,              0.0057306,              0.0057306,              0.0057306
                     71,                 1.0698,                0.73995,                 1.6574,                0.74167,                0.62918,                0.71629,                0.54658,                 1.0276,                0.64156,                 1.7981,              0.0056688,              0.0056688,              0.0056688
