                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0961,                 1.6387,                 2.5813,                0.33501,                0.47993,                0.36844,                0.21675,                 1.3141,                0.94729,                 2.1532,                0.07002,              0.0033311,              0.0033311
                      2,                  1.515,                 1.1227,                 2.0827,                0.32631,                0.53268,                0.38772,                0.24351,                 1.2267,                0.89724,                  2.083,               0.039987,              0.0066314,              0.0066314
                      3,                 1.3595,                 1.0117,                 2.0018,                0.42429,                0.55038,                0.47035,                0.31389,                 1.0894,                0.76178,                 2.0278,              0.0099213,              0.0098988,              0.0098988
                      4,                 1.2582,                0.92217,                 1.9546,                0.52052,                0.59498,                0.52184,                0.35664,                 1.0328,                0.70449,                 1.9456,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.2198,                  0.873,                 1.9197,                0.54513,                 0.6203,                0.53122,                0.37222,                0.97068,                0.67152,                 1.8726,               0.009802,               0.009802,               0.009802
                      6,                 1.1913,                0.83581,                 1.8883,                0.57449,                0.64899,                0.57602,                0.39783,                0.97089,                 0.6309,                 1.8788,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.1735,                0.81734,                 1.8769,                0.55886,                0.64614,                0.58126,                0.40963,                0.96756,                0.62314,                 1.9027,               0.009703,               0.009703,               0.009703
                      8,                  1.161,                0.79458,                 1.8657,                0.59444,                0.66181,                 0.6103,                0.43114,                0.95902,                 0.6151,                 1.8638,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.1496,                0.77995,                 1.8648,                0.62084,                 0.6473,                0.60694,                0.42928,                0.98033,                0.61117,                 1.8962,               0.009604,               0.009604,               0.009604
                     10,                 1.0882,                0.71422,                 1.8145,                 0.6659,                0.65214,                0.65407,                0.46664,                0.94422,                0.57935,                 1.8671,              0.0095545,              0.0095545,              0.0095545
                     11,                  1.082,                0.70284,                 1.8045,                0.67184,                 0.6607,                0.65678,                0.47595,                0.92889,                0.58037,                 1.8577,               0.009505,               0.009505,               0.009505
                     12,                 1.0733,                0.69183,                 1.7961,                0.67198,                0.67149,                0.67271,                0.48162,                0.93215,                0.56338,                 1.8462,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.0643,                 0.6815,                 1.7918,                0.70194,                0.66407,                0.67978,                0.48909,                0.92684,                0.56656,                 1.8332,               0.009406,               0.009406,               0.009406
                     14,                 1.0585,                0.67424,                 1.7892,                0.68849,                0.69137,                0.68759,                0.49698,                0.91884,                0.55559,                 1.8346,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.0538,                0.66964,                 1.7754,                0.68738,                0.67015,                 0.6672,                 0.4839,                0.90688,                0.55633,                 1.8264,               0.009307,               0.009307,               0.009307
                     16,                 1.0484,                  0.665,                 1.7762,                0.70041,                0.68187,                0.68254,                0.49628,                0.90824,                0.55201,                 1.8343,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.0474,                0.65783,                 1.7768,                0.71852,                0.69257,                0.70682,                 0.5128,                0.90261,                0.53544,                 1.8289,               0.009208,               0.009208,               0.009208
                     18,                 1.0418,                0.65221,                  1.779,                0.71679,                0.68646,                0.70159,                0.50442,                0.92428,                0.54055,                 1.8432,              0.0091585,              0.0091585,              0.0091585
                     19,                 1.0362,                0.64944,                 1.7643,                0.72379,                0.68291,                0.69871,                0.50537,                0.89943,                0.53017,                 1.8205,               0.009109,               0.009109,               0.009109
                     20,                 1.0357,                0.64758,                 1.7655,                0.72391,                0.69734,                0.71484,                0.52082,                0.89872,                0.52554,                  1.815,              0.0090595,              0.0090595,              0.0090595
                     21,                 1.0331,                0.64606,                 1.7433,                0.73297,                0.70852,                0.72258,                0.52289,                0.91157,                0.52554,                 1.8196,                0.00901,                0.00901,                0.00901
                     22,                 1.0264,                0.65334,                  1.743,                0.74207,                0.70218,                0.72439,                0.52284,                0.89876,                 0.5226,                 1.8094,              0.0089605,              0.0089605,              0.0089605
                     23,                 1.0212,                0.64192,                 1.7367,                0.72806,                0.70072,                0.71568,                0.52141,                0.89426,                0.52241,                 1.7991,               0.008911,               0.008911,               0.008911
                     24,                 1.0168,                0.63653,                 1.7207,                0.75597,                0.68599,                0.72637,                 0.5278,                0.91053,                0.51855,                 1.8123,              0.0088615,              0.0088615,              0.0088615
                     25,                 1.0204,                 0.6424,                 1.7207,                0.75751,                0.71071,                0.73945,                0.54121,                0.89827,                0.51373,                  1.791,               0.008812,               0.008812,               0.008812
                     26,                 1.0118,                0.63597,                 1.7127,                0.76342,                0.68338,                0.72823,                0.53577,                0.88355,                0.51361,                 1.7728,              0.0087625,              0.0087625,              0.0087625
                     27,                 1.0041,                0.63092,                 1.6985,                0.74954,                0.69534,                0.72649,                0.53706,                0.87722,                0.51244,                 1.7671,               0.008713,               0.008713,               0.008713
                     28,                0.99898,                0.63157,                 1.6914,                0.74563,                0.70124,                0.72796,                0.53812,                0.86561,                0.50934,                 1.7461,              0.0086635,              0.0086635,              0.0086635
                     29,                0.98869,                0.62517,                 1.6824,                0.75708,                0.70364,                 0.7298,                0.54436,                0.85113,                0.50585,                 1.7265,               0.008614,               0.008614,               0.008614
                     30,                0.97772,                0.62038,                 1.6704,                0.76952,                0.70504,                0.73812,                0.55062,                0.83657,                0.49993,                 1.7088,              0.0085645,              0.0085645,              0.0085645
                     31,                0.95536,                 0.6209,                 1.6405,                0.76634,                0.69346,                0.72565,                0.54685,                0.81787,                0.50048,                 1.6731,               0.008515,               0.008515,               0.008515
                     32,                0.93505,                0.61971,                 1.6208,                0.77713,                0.70145,                0.74406,                0.56354,                0.80836,                0.49484,                 1.6583,              0.0084655,              0.0084655,              0.0084655
                     33,                0.92726,                0.61542,                 1.6144,                0.76803,                0.70075,                0.73679,                0.56173,                0.79897,                0.49506,                 1.6386,               0.008416,               0.008416,               0.008416
                     34,                0.92193,                0.61253,                 1.6012,                0.77387,                0.70446,                0.74132,                0.56681,                0.79491,                 0.4918,                  1.631,              0.0083665,              0.0083665,              0.0083665
                     35,                0.91731,                0.61019,                 1.5955,                0.77422,                0.70402,                0.74328,                0.56737,                0.79466,                0.48935,                 1.6313,               0.008317,               0.008317,               0.008317
