                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.77373,                0.44568,                 1.6929,                0.80254,                0.70443,                0.75912,                0.58361,                0.78582,                0.46425,                 1.7344,                 0.0025,                 0.0025,                 0.0025
                      2,                0.76696,                0.43974,                 1.6839,                0.78595,                0.72802,                0.75596,                0.58102,                 0.7888,                0.46834,                 1.7358,              0.0024963,              0.0024963,              0.0024963
                      3,                0.76554,                0.43796,                 1.6798,                  0.775,                0.70623,                0.72684,                0.55507,                0.79977,                 0.4789,                 1.7522,              0.0024854,              0.0024854,              0.0024854
                      4,                0.76171,                 0.4343,                 1.6785,                0.78152,                 0.7211,                0.75694,                0.58703,                0.78675,                0.46356,                 1.7254,              0.0024672,              0.0024672,              0.0024672
                      5,                0.75881,                0.43066,                 1.6737,                0.80294,                0.72863,                0.75902,                0.58713,                0.78029,                0.46371,                 1.7062,              0.0024419,              0.0024419,              0.0024419
                      6,                0.75456,                0.42743,                 1.6681,                0.78823,                0.73456,                0.75757,                0.58057,                0.78426,                 0.4643,                 1.7257,              0.0024096,              0.0024096,              0.0024096
                      7,                0.75114,                0.42442,                 1.6644,                0.79785,                0.72214,                0.76711,                0.58807,                0.78269,                0.45744,                 1.7178,              0.0023706,              0.0023706,              0.0023706
                      8,                0.74922,                0.42285,                 1.6608,                0.77095,                0.73497,                0.75379,                0.58218,                 0.7791,                0.45903,                 1.7176,               0.002325,               0.002325,               0.002325
                      9,                0.74728,                0.42141,                 1.6553,                0.80438,                0.72505,                0.76732,                0.59779,                0.76519,                0.45262,                 1.7022,              0.0022732,              0.0022732,              0.0022732
                     10,                0.74435,                0.41898,                 1.6517,                0.78563,                0.73009,                0.75574,                0.58586,                0.76865,                0.45534,                 1.7066,              0.0022155,              0.0022155,              0.0022155
                     11,                0.74012,                0.41508,                 1.6448,                0.80357,                0.72603,                0.76179,                0.58988,                0.77463,                0.45846,                 1.7081,              0.0021522,              0.0021522,              0.0021522
                     12,                0.73683,                0.41333,                 1.6431,                0.78563,                 0.7272,                0.74897,                0.58292,                0.77178,                0.45845,                 1.6968,              0.0020837,              0.0020837,              0.0020837
                     13,                0.73481,                0.41022,                 1.6404,                0.79303,                0.73337,                0.75377,                0.58652,                0.76986,                0.45279,                 1.7151,              0.0020105,              0.0020105,              0.0020105
                     14,                 0.7298,                0.40743,                 1.6338,                0.79232,                0.72754,                0.75703,                0.59072,                0.76996,                0.45258,                 1.7045,               0.001933,               0.001933,               0.001933
                     15,                0.72938,                0.40453,                 1.6306,                0.78659,                0.72817,                0.75983,                0.59138,                0.77027,                  0.448,                 1.7227,              0.0018516,              0.0018516,              0.0018516
                     16,                 0.7252,                0.40164,                 1.6277,                0.80031,                0.72464,                0.75883,                0.59352,                0.76198,                0.44726,                 1.7034,              0.0017669,              0.0017669,              0.0017669
                     17,                0.72184,                0.39961,                 1.6237,                0.80566,                0.73881,                0.76899,                0.60057,                0.76436,                0.44397,                 1.7216,              0.0016795,              0.0016795,              0.0016795
                     18,                0.71906,                0.39698,                 1.6193,                0.81993,                0.72232,                0.76316,                0.59681,                0.76122,                0.44532,                 1.7149,              0.0015897,              0.0015897,              0.0015897
