                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.84942,                 1.2772,                  1.546,                0.82203,                0.71641,                0.79183,                0.64114,                0.86591,                  1.329,                 1.5829,                  0.001,                  0.001,                  0.001
                      2,                0.84387,                 1.2593,                 1.5413,                 0.7932,                0.73628,                0.78447,                0.63427,                0.85881,                 1.3377,                 1.5759,              0.0009974,              0.0009974,              0.0009974
                      3,                0.84222,                 1.2505,                 1.5387,                0.80599,                0.71436,                0.77436,                0.62457,                0.86049,                 1.3402,                 1.5854,             0.00098962,             0.00098962,             0.00098962
                      4,                0.84251,                 1.2473,                 1.5418,                0.81289,                0.74415,                0.80041,                0.64843,                0.86217,                 1.3191,                 1.5711,             0.00097675,             0.00097675,             0.00097675
                      5,                 0.8377,                 1.2332,                 1.5365,                 0.8101,                0.73142,                0.78657,                0.63449,                0.86725,                  1.346,                 1.5841,             0.00095893,             0.00095893,             0.00095893
                      6,                0.83022,                 1.2052,                 1.5253,                0.80258,                0.72494,                0.78266,                0.63323,                0.86054,                  1.333,                 1.5756,             0.00093636,             0.00093636,             0.00093636
                      7,                0.81711,                 1.1627,                   1.51,                0.81378,                0.71342,                0.77345,                0.62421,                0.86244,                 1.3531,                 1.5806,             0.00090928,             0.00090928,             0.00090928
                      8,                0.80664,                 1.1256,                 1.4984,                0.79107,                0.72358,                 0.7686,                0.61933,                0.86539,                 1.3737,                 1.5842,             0.00087799,             0.00087799,             0.00087799
                      9,                0.82518,                 1.1914,                 1.5203,                0.81486,                0.71348,                0.77094,                0.62293,                0.86245,                 1.3503,                 1.5824,             0.00084284,             0.00084284,             0.00084284
                     10,                0.82355,                 1.1829,                 1.5215,                0.81485,                0.72162,                0.77832,                0.62924,                 0.8619,                 1.3406,                 1.5845,              0.0008042,              0.0008042,              0.0008042
                     11,                 0.8233,                 1.1793,                 1.5232,                0.81038,                0.73517,                0.79129,                   0.64,                0.86244,                 1.3229,                  1.575,              0.0007625,              0.0007625,              0.0007625
                     12,                0.81915,                 1.1675,                 1.5178,                0.81352,                0.71937,                0.77621,                0.62742,                0.86643,                 1.3426,                  1.586,              0.0007182,              0.0007182,              0.0007182
                     13,                0.82679,                  1.196,                 1.5254,                0.80158,                0.73986,                0.78365,                0.63153,                0.86272,                 1.3336,                  1.585,             0.00067178,             0.00067178,             0.00067178
